Modèle,Accuracy,AUC,Precision,Recall,F1-Score,Temps (min)
CNN (MobileNetV2),0.8782051205635071,0.9547227025032043,0.8552036285400391,0.9692307710647583,0.9086538461538461,92.97081294457118
SVM,0.9166666666666666,0.9677514792899408,0.9355670103092784,0.9307692307692308,0.9331619537275064,7.295520814259847
Random Forest,0.8669871794871795,0.9429651545036162,0.8905852417302799,0.8974358974358975,0.8939974457215837,49.37771238485972
